Date,Close,High,Low,Open,Volume,Ticker,KSE100_Close,CompanyName,Sector
2020-05-08,76.46,77.51,75.93,76.65,2165500.0,DGKC,39882.78,DG Khan Cement Company,Cement
2020-05-11,75.84,76.7,74.77,76.7,1105000.0,DGKC,41071.3,DG Khan Cement Company,Cement
2020-05-12,81.09,81.53,78.53,79.01,6572000.0,DGKC,41071.3,DG Khan Cement Company,Cement
2020-05-13,80.89,82.39,80.19,80.94,5404000.0,DGKC,33693.04,DG Khan Cement Company,Cement
2020-05-14,80.14,81.9,79.5,80.7,1638500.0,DGKC,33804.9,DG Khan Cement Company,Cement
2020-05-15,81.6,82.24,79.84,80.56,5280500.0,DGKC,34008.33,DG Khan Cement Company,Cement
2020-05-18,80.41,83.83,79.98,83.83,3563000.0,DGKC,33804.97,DG Khan Cement Company,Cement
2020-05-19,79.59,81.52,79.3,80.75,2537000.0,DGKC,34158.55,DG Khan Cement Company,Cement
2020-05-20,80.34,80.94,79.01,79.64,2010500.0,DGKC,33932.81,DG Khan Cement Company,Cement
2020-05-21,78.16,80.7,77.67,80.64,3602000.0,DGKC,33836.61,DG Khan Cement Company,Cement
2020-05-22,78.16,78.16,78.16,78.16,0.0,DGKC,33836.61,DG Khan Cement Company,Cement
2020-05-25,78.16,78.16,78.16,78.16,0.0,DGKC,33836.61,DG Khan Cement Company,Cement
2020-05-26,78.16,78.16,78.16,78.16,0.0,DGKC,33836.61,DG Khan Cement Company,Cement
2020-05-27,78.16,78.16,78.16,78.16,0.0,DGKC,33836.61,DG Khan Cement Company,Cement
2020-05-28,79.04,79.21,77.28,78.44,1552500.0,DGKC,33695.42,DG Khan Cement Company,Cement
2020-05-29,79.56,80.64,78.92,79.06,2419000.0,DGKC,33931.23,DG Khan Cement Company,Cement
2020-06-01,78.06,79.85,77.57,79.59,1779500.0,DGKC,41296.24,DG Khan Cement Company,Cement
2020-06-02,78.78,79.78,78.29,78.3,2465500.0,DGKC,40724.41,DG Khan Cement Company,Cement
2020-06-03,78.25,79.39,77.95,79.01,958500.0,DGKC,38219.67,DG Khan Cement Company,Cement
2020-06-04,77.82,78.72,77.47,78.44,997000.0,DGKC,30579.15,DG Khan Cement Company,Cement
2020-06-05,78.85,79.3,77.57,78.05,1395500.0,DGKC,33728.18,DG Khan Cement Company,Cement
2020-06-08,80.33,80.74,79.4,79.4,3269000.0,DGKC,40166.12,DG Khan Cement Company,Cement
2020-06-09,80.15,80.84,79.65,80.33,2243000.0,DGKC,40166.12,DG Khan Cement Company,Cement
2020-06-10,79.49,80.6,79.3,80.41,1772500.0,DGKC,39127.48,DG Khan Cement Company,Cement
2020-06-11,80.61,80.81,78.82,79.83,1987500.0,DGKC,40731.61,DG Khan Cement Company,Cement
2020-06-12,80.7,81.41,79.3,79.59,2412000.0,DGKC,40731.61,DG Khan Cement Company,Cement
2020-06-15,77.18,80.94,75.74,80.46,4166000.0,DGKC,33824.51,DG Khan Cement Company,Cement
2020-06-16,77.9,78.34,77.23,77.86,1110000.0,DGKC,34019.12,DG Khan Cement Company,Cement
2020-06-17,75.68,78.58,75.16,78.15,1294500.0,DGKC,33848.68,DG Khan Cement Company,Cement
2020-06-18,75.84,76.87,75.37,76.41,1629000.0,DGKC,33539.85,DG Khan Cement Company,Cement
2020-06-19,75.35,76.85,74.74,76.85,575000.0,DGKC,33438.94,DG Khan Cement Company,Cement
2020-06-22,75.82,76.12,72.99,75.74,2525000.0,DGKC,33737.92,DG Khan Cement Company,Cement
2020-06-23,77.03,77.38,76.03,76.27,1634000.0,DGKC,34052.61,DG Khan Cement Company,Cement
2020-06-24,76.04,77.62,75.55,77.19,3415500.0,DGKC,34034.65,DG Khan Cement Company,Cement
2020-06-25,76.02,76.56,75.02,75.8,2117000.0,DGKC,33709.63,DG Khan Cement Company,Cement
2020-06-26,81.2,81.71,77.81,79.01,12608000.0,DGKC,33939.49,DG Khan Cement Company,Cement
2020-06-29,82.53,84.32,79.25,80.94,8209000.0,DGKC,34181.8,DG Khan Cement Company,Cement
2020-06-30,82.22,84.21,81.9,83.11,4739500.0,DGKC,34421.92,DG Khan Cement Company,Cement
2020-07-01,88.06,88.38,82.1,82.15,14526000.0,DGKC,41904.47,DG Khan Cement Company,Cement
2020-07-02,87.59,89.59,86.83,88.65,9530500.0,DGKC,40143.63,DG Khan Cement Company,Cement
2020-07-03,87.16,87.98,86.14,87.69,2485500.0,DGKC,40143.63,DG Khan Cement Company,Cement
2020-07-06,88.82,90.0,87.3,87.69,5044000.0,DGKC,40143.63,DG Khan Cement Company,Cement
2020-07-07,89.65,91.3,89.38,89.66,4589500.0,DGKC,35373.35,DG Khan Cement Company,Cement
2020-07-08,91.84,92.6,90.0,91.06,10167000.0,DGKC,40029.69,DG Khan Cement Company,Cement
2020-07-09,92.15,94.29,91.54,93.47,6705000.0,DGKC,42295.75,DG Khan Cement Company,Cement
2020-07-10,92.48,92.84,90.78,92.17,4130500.0,DGKC,39849.96,DG Khan Cement Company,Cement
2020-07-13,99.24,99.4,94.05,94.43,11522500.0,DGKC,36618.57,DG Khan Cement Company,Cement
2020-07-14,97.64,100.59,97.42,100.21,6040500.0,DGKC,36745.22,DG Khan Cement Company,Cement
2020-07-15,99.01,100.31,97.38,98.29,6991500.0,DGKC,36679.03,DG Khan Cement Company,Cement
2020-07-16,101.64,102.72,99.25,99.25,8310000.0,DGKC,37001.44,DG Khan Cement Company,Cement
2020-07-17,101.16,102.62,100.46,102.14,2731500.0,DGKC,37330.85,DG Khan Cement Company,Cement
2020-07-20,101.58,103.82,100.94,101.66,4500500.0,DGKC,37650.57,DG Khan Cement Company,Cement
2020-07-21,98.68,103.08,98.28,102.0,6543000.0,DGKC,37700.31,DG Khan Cement Company,Cement
2020-07-22,98.88,100.5,97.13,99.35,7044000.0,DGKC,37804.61,DG Khan Cement Company,Cement
2020-07-23,96.06,99.73,95.76,99.73,4252000.0,DGKC,37578.21,DG Khan Cement Company,Cement
2020-07-24,94.64,95.58,93.85,95.39,3831000.0,DGKC,37607.62,DG Khan Cement Company,Cement
2020-07-27,97.86,98.29,94.28,94.91,4031500.0,DGKC,38221.16,DG Khan Cement Company,Cement
2020-07-28,99.12,100.07,98.43,99.15,5816000.0,DGKC,38627.27,DG Khan Cement Company,Cement
2020-07-29,98.93,100.69,97.8,100.45,10890000.0,DGKC,38836.27,DG Khan Cement Company,Cement
2020-07-30,100.31,100.68,98.53,99.44,5588000.0,DGKC,39258.44,DG Khan Cement Company,Cement
2020-07-31,100.31,100.31,100.31,100.31,0.0,DGKC,39258.44,DG Khan Cement Company,Cement
2020-08-03,102.4,104.45,101.56,102.14,17432000.0,DGKC,39258.44,DG Khan Cement Company,Cement
2020-08-04,98.37,103.59,97.32,101.66,11516000.0,DGKC,30971.27,DG Khan Cement Company,Cement
2020-08-05,103.85,104.98,97.42,98.75,21413500.0,DGKC,33267.69,DG Khan Cement Company,Cement
2020-08-06,103.46,106.38,102.72,105.26,12026500.0,DGKC,34749.57,DG Khan Cement Company,Cement
2020-08-07,102.3,105.03,101.85,103.3,7098500.0,DGKC,35694.89,DG Khan Cement Company,Cement
2020-08-10,100.82,103.01,100.22,102.43,3495000.0,DGKC,40353.62,DG Khan Cement Company,Cement
2020-08-11,102.27,103.44,101.02,101.02,6498000.0,DGKC,40353.62,DG Khan Cement Company,Cement
2020-08-12,101.87,105.42,100.89,103.59,11012500.0,DGKC,42101.78,DG Khan Cement Company,Cement
2020-08-13,101.4,103.01,100.05,101.85,5151500.0,DGKC,40290.74,DG Khan Cement Company,Cement
2020-08-14,101.4,101.4,101.4,101.4,0.0,DGKC,40290.74,DG Khan Cement Company,Cement
2020-08-17,101.87,103.34,101.18,102.0,3083000.0,DGKC,40122.5,DG Khan Cement Company,Cement
2020-08-18,107.85,108.6,102.01,102.53,26779000.0,DGKC,40184.01,DG Khan Cement Company,Cement
2020-08-19,106.07,109.22,105.51,107.68,12049000.0,DGKC,40154.11,DG Khan Cement Company,Cement
2020-08-20,103.51,106.66,102.72,106.66,5689000.0,DGKC,39868.55,DG Khan Cement Company,Cement
2020-08-21,102.67,104.31,100.69,102.62,5937000.0,DGKC,39621.59,DG Khan Cement Company,Cement
2020-08-24,104.04,104.49,102.09,102.73,4405000.0,DGKC,39802.6,DG Khan Cement Company,Cement
2020-08-25,105.79,106.97,104.45,104.93,8426500.0,DGKC,40292.82,DG Khan Cement Company,Cement
2020-08-26,105.41,106.24,104.84,105.51,3628500.0,DGKC,40862.59,DG Khan Cement Company,Cement
2020-08-27,106.12,107.91,105.51,105.51,8378000.0,DGKC,41081.94,DG Khan Cement Company,Cement
2020-08-28,105.13,106.48,104.93,105.99,1450500.0,DGKC,41056.22,DG Khan Cement Company,Cement
2020-08-31,107.73,110.43,105.71,106.09,11124000.0,DGKC,41110.93,DG Khan Cement Company,Cement
2020-09-01,110.96,111.53,107.73,107.92,7504000.0,DGKC,42523.07,DG Khan Cement Company,Cement
2020-09-02,112.23,114.06,111.68,112.26,5130000.0,DGKC,42523.07,DG Khan Cement Company,Cement
2020-09-03,113.35,113.71,111.59,112.31,5680000.0,DGKC,37058.95,DG Khan Cement Company,Cement
2020-09-04,112.08,114.62,111.42,113.12,6573500.0,DGKC,31837.3,DG Khan Cement Company,Cement
2020-09-07,111.97,113.7,111.29,113.7,4455000.0,DGKC,36142.17,DG Khan Cement Company,Cement
2020-09-08,109.65,113.22,108.74,112.73,5490000.0,DGKC,36142.17,DG Khan Cement Company,Cement
2020-09-09,108.98,110.23,108.4,109.56,2804500.0,DGKC,42022.25,DG Khan Cement Company,Cement
2020-09-10,110.81,112.74,109.74,109.74,5766000.0,DGKC,40798.43,DG Khan Cement Company,Cement
2020-09-11,109.18,111.54,108.88,111.54,2168500.0,DGKC,40784.04,DG Khan Cement Company,Cement
2020-09-14,106.15,109.84,105.51,108.98,4409000.0,DGKC,42531.31,DG Khan Cement Company,Cement
2020-09-15,107.01,109.66,106.47,106.47,5908500.0,DGKC,42346.42,DG Khan Cement Company,Cement
2020-09-16,107.9,108.77,106.77,107.54,2376000.0,DGKC,42282.28,DG Khan Cement Company,Cement
2020-09-17,108.86,109.39,108.16,109.36,5098000.0,DGKC,42334.76,DG Khan Cement Company,Cement
2020-09-18,107.95,108.4,106.77,108.11,2351500.0,DGKC,42504.76,DG Khan Cement Company,Cement
2020-09-21,106.99,108.4,106.48,106.97,1293000.0,DGKC,42174.13,DG Khan Cement Company,Cement
2020-09-22,108.02,108.5,105.99,107.25,7711000.0,DGKC,41828.91,DG Khan Cement Company,Cement
2020-09-23,109.1,111.1,108.79,109.37,5838000.0,DGKC,41876.26,DG Khan Cement Company,Cement
2020-09-24,108.85,110.62,107.73,108.89,4723500.0,DGKC,41806.37,DG Khan Cement Company,Cement
2020-09-25,105.69,108.88,105.13,107.93,4373500.0,DGKC,41701.23,DG Khan Cement Company,Cement
2020-09-28,100.51,105.89,99.61,105.89,5310000.0,DGKC,40740.95,DG Khan Cement Company,Cement
2020-09-29,101.18,102.04,98.29,100.6,4840000.0,DGKC,41204.36,DG Khan Cement Company,Cement
2020-09-30,99.36,104.07,98.77,102.24,6000000.0,DGKC,40571.48,DG Khan Cement Company,Cement
2020-10-01,104.23,105.99,98.64,100.02,8100500.0,DGKC,43207.05,DG Khan Cement Company,Cement
2020-10-02,102.88,105.03,101.81,104.56,6786500.0,DGKC,39296.7,DG Khan Cement Company,Cement
2020-10-05,100.95,102.96,99.73,101.66,4463500.0,DGKC,39296.7,DG Khan Cement Company,Cement
2020-10-06,102.32,103.1,100.09,101.56,2398923.0,DGKC,35065.08,DG Khan Cement Company,Cement
2020-10-07,107.04,107.44,102.15,103.1,4107769.0,DGKC,36190.4,DG Khan Cement Company,Cement
2020-10-08,106.07,108.4,103.94,107.83,5502957.0,DGKC,39914.76,DG Khan Cement Company,Cement
2020-10-09,105.59,107.1,105.32,106.0,2294871.0,DGKC,42647.35,DG Khan Cement Company,Cement
2020-10-12,103.09,106.09,102.62,105.89,3654189.0,DGKC,42305.84,DG Khan Cement Company,Cement
2020-10-13,102.73,103.59,100.71,103.01,1740847.0,DGKC,40006.67,DG Khan Cement Company,Cement
2020-10-14,103.93,104.55,102.63,102.86,4447516.0,DGKC,40144.29,DG Khan Cement Company,Cement
2020-10-15,102.15,105.51,101.66,104.79,2674614.0,DGKC,40068.49,DG Khan Cement Company,Cement
2020-10-16,104.08,104.71,100.69,102.19,4296507.0,DGKC,40164.02,DG Khan Cement Company,Cement
2020-10-19,104.1,105.03,103.34,103.97,1121224.0,DGKC,40340.17,DG Khan Cement Company,Cement
2020-10-20,106.9,107.72,104.07,104.07,3716039.0,DGKC,40956.58,DG Khan Cement Company,Cement
2020-10-21,106.45,107.54,105.13,107.54,3681397.0,DGKC,41535.92,DG Khan Cement Company,Cement
2020-10-22,106.69,109.8,105.99,106.48,7045591.0,DGKC,41199.02,DG Khan Cement Company,Cement
